"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Apr 13, 2025 3:06:00 AM PDT","23267893001","Order","111-0254807-3902654","CF-JJ-01B","owosald Black Metal s Hooks for Hanging,Pot Hanger Hooks Available for Finishing cookware,(4 inch, Black, 10)","1","amazon.com","Standard Orders","Amazon","SCANDIA","MN","55073","MarketplaceFacilitator","11.99","0.95","0","0","0","0","0","0","-0.60","0","-0.95","-1.71","-3.33","0","0","6.35"
"Apr 13, 2025 5:14:22 AM PDT","23267893001","Service Fee","FBA18Q02RD5X","","FBA Inbound Placement Service Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-27.00","-27.00"
"Apr 13, 2025 1:15:25 PM PDT","23267893001","Service Fee","FBA18P7L769G","","FBA Inbound Placement Service Fee","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-27.00","-27.00"
"Apr 13, 2025 4:00:12 PM PDT","23267893001","Service Fee","f34234e3-8b5a-4b5f-8167-ed5c31920d3c","","Coupon Redemption Fee: Save 20% on Pot hooks","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
"Apr 13, 2025 6:18:19 PM PDT","23267893001","Order","112-5945971-9324242","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","2","amazon.com","Standard Orders","Amazon","KISSIMMEE","FL","34744","MarketplaceFacilitator","31.98","2.40","0","0","0","0","0","0","0","0","-2.40","-4.80","-7.30","0","0","19.88"
"Apr 14, 2025 1:04:15 AM PDT","23267893001","Order","114-5332331-9373842","CF-JJ-01B","owosald Black Metal s Hooks for Hanging,Pot Hanger Hooks Available for Finishing cookware,(4 inch, Black, 10)","1","amazon.com","Standard Orders","Amazon","KATY","TX","77494","MarketplaceFacilitator","10.99","0.91","0.02","0","0","0","0","0","0","0","-0.91","-1.65","-3.35","0","0","6.01"
"Apr 14, 2025 2:55:51 AM PDT","23267893001","Order","112-7200725-8933800","CF-JJ-01B","owosald Black Metal s Hooks for Hanging,Pot Hanger Hooks Available for Finishing cookware,(4 inch, Black, 10)","1","amazon.com","Standard Orders","Amazon","KENT","WA","98042","MarketplaceFacilitator","11.99","1.00","0","0","0","0","0","0","-0.60","0","-1.00","-1.71","-3.33","0","0","6.35"
"Apr 14, 2025 3:08:12 AM PDT","23267893001","Order","112-6645756-8273851","CF-JJ-01B","owosald Black Metal s Hooks for Hanging,Pot Hanger Hooks Available for Finishing cookware,(4 inch, Black, 10)","1","amazon.com","Standard Orders","Amazon","PORTLAND","OR","97213","","11.99","0","0","0","0","0","0","0","-0.60","0","0","-1.71","-3.33","0","0","6.35"
"Apr 14, 2025 4:14:07 AM PDT","23267893001","Order","114-1831277-6514651","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","LEMITAR","NM","87823","MarketplaceFacilitator","15.99","1.00","0","0","0","0","0","0","0","0","-1.00","-2.40","-3.65","0","0","9.94"
"Apr 14, 2025 7:55:37 AM PDT","23267893001","Order","111-4051834-0542640","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","TAVERNIER","FL","33070","MarketplaceFacilitator","15.99","1.20","0","0","0","0","0","0","0","0","-1.20","-2.40","-3.65","0","0","9.94"
