聚合日期,settlement id,quantity,order postal,product sales,product sales tax,shipping credits,shipping credits tax,gift wrap credits,giftwrap credits tax,Regulatory Fee,Tax On Regulatory Fee,promotional rebates,promotional rebates tax,marketplace withheld tax,selling fees,fba fees,other transaction fees,other,total
2025-03-06,69193314333,2.0,64728.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,-22.9,0.0,-18.6,-41.5
2025-03-07,184515504888,8.0,254418.0,12.99,0.71,1.33,0.0,0,0,0,0,-1.33,0,-0.71,-1.95,-60.489999999999995,-1.2,-86.95,-137.6
2025-03-08,23064438111,1.0,44060.0,15.99,1.12,0.0,0.0,0,0,0,0,0.0,0,-1.12,-2.4,-3.65,0.0,0.0,9.94
2025-03-09,92257752444,4.0,168427.0,26.41,1.6800000000000002,0.0,0.0,0,0,0,0,-0.65,0,-1.6800000000000002,-3.6500000000000004,-18.02,-0.51,0.0,3.580000000000001
2025-03-10,115322190555,4.0,247126.0,11.99,0.98,0.0,0.0,0,0,0,0,-0.6,0,-0.98,-1.71,-37.68,0.0,-117.6,-145.6
2025-03-11,46128876222,2.0,34055.0,16.99,1.08,0.0,0.0,0,0,0,0,0.0,0,-1.08,-2.55,-15.6,0.0,0.0,-1.1600000000000001
2025-03-12,69193314333,3.0,129232.0,29.979999999999997,1.19,0.0,0.0,0,0,0,0,-0.65,0,-1.19,-4.4,-7.390000000000001,-0.6,0.0,16.939999999999998
2025-03-13,92257752444,4.0,187380.0,55.96,4.380000000000001,0.02,0.0,0,0,0,0,-0.65,0,-4.380000000000001,-8.3,-13.89,0.0,0.0,33.14
2025-03-14,69193314333,3.0,168343.0,10.99,0.96,0.0,0.0,0,0,0,0,0.0,0,-0.96,-1.65,-14.78,-0.6,0.0,-6.039999999999999
2025-03-15,23064438111,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,-10.2,-10.2
2025-03-16,161451066777,7.0,337005.0,69.95,5.09,0.97,0.0,0,0,0,0,-4.49,0,-5.09,-9.969999999999999,-17.68,-0.6,0.0,38.18
2025-03-17,138486461506,5.0,178562.0,24.6,1.6800000000000002,0.0,0.0,0,0,0,0,-1.2,0,-1.6800000000000002,-3.42,-29.56,-0.34,282.51,272.59
2025-03-18,115821354755,4.0,275866.0,95.96,5.6899999999999995,0.0,0.0,0,0,0,0,-21.55,0,-5.6899999999999995,-11.16,-18.97,0.0,-73.01,-28.73
2025-03-19,92657083804,7.0,146532.0,23.98,1.44,0.0,0.0,0,0,0,0,0.0,0,-1.44,-3.6,-18.11,-2.4,0.0,-0.129999999999999
2025-03-20,46328541902,4.0,29322.0,16.99,1.19,0.0,0.0,0,0,0,0,0.0,0,-1.19,-2.55,-4.15,-1.8,0.0,8.489999999999998
2025-03-21,69492812853,5.0,97041.0,15.99,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,-2.4,-3.65,-2.4,0.0,7.539999999999999
2025-03-22,138985625706,6.0,304242.0,48.96,3.5700000000000003,3.87,0.32,0,0,0,0,-0.8,0,-3.89,-7.2299999999999995,-28.96,-0.6,0.0,15.24
2025-03-23,92657083804,4.0,255216.0,48.96,3.86,5.16,0.06,0,0,0,0,-2.7800000000000002,0,-3.92,-7.2299999999999995,-16.82,0.0,0.0,27.29
2025-03-24,46328541902,2.0,96103.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,-22.9,0.0,0.0,-22.9
2025-03-25,69492812853,3.0,40824.0,112.97999999999999,3.0,0.0,0.0,0,0,0,0,-50.65,0,-3.0,-9.35,-27.07,0.0,0.0,25.91
2025-03-26,92657083804,4.0,229001.0,138.95999999999998,5.84,3.56,0.12,0,0,0,0,-51.269999999999996,0,-5.96,-13.23,-25.78,0.0,0.0,52.239999999999995
2025-03-27,46328541902,3.0,92115.0,11.99,0.88,0.0,0.0,0,0,0,0,-0.6,0,-0.88,-1.71,-3.33,-1.2,0.0,5.1499999999999995
2025-03-28,115821354755,5.0,121685.0,47.97,3.09,0.0,0.0,0,0,0,0,-2.4000000000000004,0,-3.09,-6.84,-10.95,-1.2,0.0,26.58
2025-03-29,185314167608,8.0,269120.0,58.96,4.34,1.49,0.0,0,0,0,0,-2.94,0,-4.34,-8.629999999999999,-48.629999999999995,-0.6,0.0,-0.34999999999999787
2025-03-30,138985625706,6.0,213370.0,124.97,6.140000000000001,0.0,0.0,0,0,0,0,-50.65,0,-6.140000000000001,-11.15,-41.85,-0.6,0.0,20.72
2025-03-31,69492812853,3.0,25307.0,15.99,0.88,0.0,0.0,0,0,0,0,0.0,0,-0.88,-2.4,-15.1,-0.6,0.0,-2.1099999999999994
2025-04-01,93071572004,7.0,221696.0,107.97999999999999,5.49,0.0,0.0,0,0,0,0,-48.15,0,-5.49,-8.969999999999999,-27.07,-2.4,0.0,21.39
2025-04-02,116339465005,5.0,110163.0,14.99,1.06,2.66,0.0,0,0,0,0,-2.0100000000000002,0,-1.06,-2.7199999999999998,-6.98,-440.77,0.0,-434.83
2025-04-03,69803679003,3.0,52763.0,111.97999999999999,4.18,0.0,0.0,0,0,0,0,-50.6,0,-4.18,-9.21,-15.71,-0.6,0.0,35.86
2025-04-04,69803679003,3.0,191283.0,11.99,0.0,0.0,0.0,0,0,0,0,-0.6,0,0.0,-1.71,-14.78,-0.6,0.0,-5.699999999999999
2025-04-05,23267893001,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,-0.6,0.0,-0.6
2025-04-06,69803679003,2.0,23063.0,0.35,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,-11.34,-0.3,-18.51,-29.8
2025-04-07,139607358006,6.0,254135.0,144.95999999999998,9.15,0.29,0.0,0,0,0,0,-34.29,0,-9.15,-16.65,-22.92,-1.2,-199.89,-129.7
2025-04-08,69803679003,3.0,11745.0,23.98,1.72,0.0,0.0,0,0,0,0,-1.2,0,-1.72,-3.42,-6.66,-0.6,0.0,12.1
2025-04-09,69803679003,3.0,180639.0,35.97,2.3899999999999997,0.99,0.0,0,0,0,0,-2.19,0,-2.3899999999999997,-5.22,-9.99,0.0,0.0,19.56
2025-04-10,162875251007,7.0,276880.0,76.95,5.62,0.0,0.0,0,0,0,0,-9.600000000000001,0,-5.62,-10.11,-17.84,-1.2,0.0,38.199999999999996
2025-04-11,93071572004,4.0,136925.0,111.97999999999999,9.94,0.0,0.0,0,0,0,0,-0.6,0,-9.94,-16.71,-15.71,-1.2,0.0,77.76
2025-04-12,23267893001,3.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,-1.8,0.0,-1.8
2025-04-13,139607358006,5.0,124588.0,59.96,4.31,0.0,0.0,0,0,0,0,-3.8000000000000003,0,-4.31,-8.43,-14.28,-0.6,-54.0,-21.150000000000002
2025-04-14,302592044153,13.0,615391.0,138.9,8.59,0.02,0.0,0,0,0,0,-8.8,0,-8.59,-19.53,-34.92,-1.8,209.9,283.77
2025-04-15,46754656282,2.0,158945.0,23.98,1.96,0.0,0.0,0,0,0,0,-0.6,0,-1.96,-3.51,-6.66,0.0,0.0,13.21
2025-04-16,93509312564,4.0,172415.0,28.979999999999997,2.25,6.99,0.65,0,0,0,0,-3.4,0,-2.9,-3.84,-14.47,-1.2,0.0,13.06
2025-04-17,163641296987,8.0,288972.0,155.95,7.57,0.0,0.0,0,0,0,0,-33.8,0,-7.57,-18.33,-26.34,-1.7999999999999998,0.0,75.67999999999999
2025-04-18,163641296987,6.0,223622.0,53.96,4.8,0.0,0.0,0,0,0,0,-0.65,0,-4.8,-8.0,-13.46,-351.43,0.0,-319.58000000000004
2025-04-19,187018625128,8.0,255697.0,35.980000000000004,3.2699999999999996,0.0,0.0,0,0,0,0,0.6,0,-3.2699999999999996,-6.17,-14.28,-1.2,0.0,14.93
2025-04-20,93509312564,5.0,89174.0,15.99,0.88,0.0,0.0,0,0,0,0,-3.2,0,-0.88,-1.92,-15.1,-1.7999999999999998,0.0,-6.029999999999999
2025-04-21,70131984423,3.0,84283.0,28.98,1.6099999999999999,0.16,0.0,0,0,0,0,-3.3600000000000003,0,-1.6099999999999999,-3.87,-6.890000000000001,-0.6,0.0,14.42
2025-04-22,116886640705,6.0,174772.0,55.96,2.91,0.0,0.0,0,0,0,0,-7.0,0,-2.91,-7.35,-13.96,-1.2,0.0,26.45
2025-04-23,140263968846,9.0,235562.0,123.92,8.93,0.0,0.0,0,0,0,0,-3.2,0,-8.93,-18.119999999999997,-28.88,-0.6,-1.37,71.75
2025-04-24,163641296987,7.0,376186.0,151.95999999999998,8.64,1.2,0.0,0,0,0,0,-40.2,0,-8.64,-17.29,-26.98,-0.6,0.0,68.09
2025-04-25,116886640705,5.0,161446.0,40.97,3.12,0.0,0.0,0,0,0,0,0.0,0,-3.12,-6.15,-10.22,-1.2,0.0,23.400000000000002
2025-04-26,23377328141,1.0,37055.0,48.99,2.87,0.0,0.0,0,0,0,0,-19.6,0,-2.87,-4.41,-6.16,0.0,0.0,18.82
2025-04-27,93509312564,8.0,252730.0,34.97,3.08,0.57,0.0,0,0,0,0,-0.57,0,-3.08,-5.25,-9.99,-3.0,0.0,16.73
2025-04-28,140370562456,6.0,223173.0,33.98,2.32,0.66,0.05,0,0,0,0,-0.19999999999999973,0,-2.3699999999999997,-5.449999999999999,-24.06,-0.6,0.0,4.33
2025-04-29,23483921751,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,-0.6,0.0,-0.6
2025-04-30,70451765253,3.0,175224.0,31.98,2.52,0.0,0.0,0,0,0,0,-3.0,0,-2.52,-4.35,-19.14,0.0,0.0,5.489999999999998
2025-05-02,164387452257,5.0,174046.0,91.96000000000001,4.640000000000001,1.22,0.0,0,0,0,0,-24.02,0,-4.640000000000001,-10.38,-16.79,-216.73999999999998,-0.49,-175.23999999999998
2025-05-03,70451765253,3.0,185127.0,31.979999999999997,2.4,0.43,0.03,0,0,0,0,-3.4,0,-2.4299999999999997,-4.29,-8.23,-0.6,0.0,15.89
2025-05-04,164387452257,8.0,448581.0,186.93,10.149999999999999,6.99,0.0,0,0,0,0,-13.39,0,-10.149999999999999,-27.09,-45.09,0.0,0.0,108.35
2025-05-05,93935687004,5.0,84802.0,-32.00000000000001,-0.9400000000000001,0.0,0.0,0,0,0,0,16.200000000000003,0,0.9400000000000001,1.4899999999999998,-20.07,-0.6,0.0,-34.98
2025-05-06,46967843502,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0.0,-0.6,-18.16,-18.76
2025-05-07,93935687004,3.0,133967.0,32.98,2.34,0.0,0.0,0,0,0,0,-3.2,0,-2.34,-4.47,-7.800000000000001,-0.6,-192.94,-176.03
