"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Jun 5, 2025 6:56:08 PM PDT","23774186971","Debt","","","amzn1.cam.v1.sgid.23696773201","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","179.86","179.86"
"Jun 6, 2025 12:21:53 AM PDT","23774186971","Order","113-1874947-2944202","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","WHARTON","TX","77488","MarketplaceFacilitator","15.99","0.97","0","0","0","0","0","0","-1.60","0","-0.97","-2.16","-3.65","0","0","8.58"
"Jun 6, 2025 1:08:29 AM PDT","23091373191","Order","111-9275874-6296235","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Invoiced Orders","Amazon","CHELAN","WA","98816","MarketplaceFacilitator","14.99","1.04","0","0","0","0","0","0","-3.00","0","-1.04","-1.80","-3.65","0","0","6.54"
"Jun 6, 2025 2:23:47 AM PDT","23774186971","Service Fee","","","Subscription","","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-18.00","-18.00"
"Jun 6, 2025 6:52:04 AM PDT","23774186971","Order","114-9175936-3688240","CF-JJ-02-S","owosald Metal Pot Hanger Stainless Steel s Hook,Used to Hang and Organize Kitchen cookware, (4"" Steel, 20)","1","amazon.com","Standard Orders","Amazon","NORWOOD","NC","28128","MarketplaceFacilitator","16.99","1.19","0","0","0","0","0","0","0","0","-1.19","-2.55","-4.15","0","0","10.29"
"Jun 6, 2025 7:52:52 AM PDT","23774186971","Order","114-9175936-3688240","CF-JJ-02-S","owosald Metal Pot Hanger Stainless Steel s Hook,Used to Hang and Organize Kitchen cookware, (4"" Steel, 20)","1","amazon.com","Standard Orders","Amazon","NORWOOD","NC","28128","MarketplaceFacilitator","16.99","1.19","0","0","0","0","0","0","0","0","-1.19","-2.55","-4.15","0","0","10.29"
"Jun 6, 2025 11:43:49 AM PDT","23774186971","Order","112-1738141-2896213","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","WEST BEND","WI","53090","MarketplaceFacilitator","15.99","0.79","0","0","0","0","0","0","-1.60","0","-0.79","-2.16","-3.65","0","0","8.58"
"Jun 6, 2025 12:23:20 PM PDT","23774186971","Order","113-1112184-4497050","CF-JJ-02-B","owosald Pot Hook for Hanging Black Metal s Hooks for Hanging,Pot Rack Hooks Available for Finishing cookware(4in Black 20Pcs)","1","amazon.com","Standard Orders","Amazon","MEDORA","ND","58645","MarketplaceFacilitator","15.99","1.20","0","0","0","0","0","0","0","0","-1.20","-2.40","-3.65","0","0","9.94"
"Jun 6, 2025 12:55:14 PM PDT","23774186971","Service Fee","3139f704-120f-40d0-83f0-086abf44240b","","Coupon Redemption Fee: Save 10% on Pot hooks","2","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-1.20","0","-1.20"
"Jun 7, 2025 12:49:58 PM PDT","23774186971","Service Fee","3139f704-120f-40d0-83f0-086abf44240b","","Coupon Redemption Fee: Save 10% on Pot hooks","1","Amazon.com","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-0.60","0","-0.60"
